,day_of_week,hour,quantities,item_count,food_prep_time_minutes
70982,Friday,19.75,12.0,10,29
70983,Wednesday,8.75,7.0,4,34
70984,Sunday,6.75,12.0,10,29
70985,Thursday,19.75,1.0,1,9
70986,Sunday,18.75,1.0,1,4
70987,Thursday,18.75,2.0,2,16
70988,Wednesday,9.75,14.0,9,34
70989,Monday,19.75,11.0,8,30
70990,Friday,18.75,2.0,2,18
70991,Friday,20.75,17.0,9,45
70992,Wednesday,16.75,9.0,8,16
70993,Saturday,11.75,10.0,7,26
70994,Thursday,18.75,6.0,4,48
70995,Wednesday,12.75,3.0,3,11
70996,Thursday,19.75,9.0,6,31
70997,Wednesday,18.75,6.0,6,15
70998,Wednesday,18.75,12.0,8,41
70999,Wednesday,22.75,9.0,4,43
71000,Thursday,12.75,8.0,8,15
71001,Tuesday,18.75,1.0,1,10
71002,Tuesday,23.75,6.0,5,26
71003,Saturday,14.75,1.0,1,14
71004,Friday,5.75,3.0,1,26
71005,Friday,22.75,2.0,2,10
71006,Wednesday,22.75,8.0,8,11
71007,Wednesday,14.75,13.0,8,42
71008,Thursday,20.75,18.0,9,29
71009,Monday,12.75,9.0,6,22
71010,Friday,18.75,11.0,7,39
71011,Saturday,17.75,10.0,5,41
71012,Monday,16.75,16.0,10,27
71013,Thursday,0.75,11.0,8,33
71014,Tuesday,14.75,2.0,2,11
71015,Wednesday,18.75,8.0,6,33
71016,Wednesday,21.75,11.0,9,21
71017,Tuesday,6.75,1.0,1,11
71018,Thursday,13.75,5.0,5,13
71019,Sunday,13.75,17.0,10,45
71020,Thursday,8.75,8.0,4,31
71021,Wednesday,20.75,5.0,3,27
71022,Thursday,19.75,6.0,4,42
71023,Wednesday,23.75,14.0,9,43
71024,Tuesday,15.75,16.0,9,26
71025,Friday,21.75,3.0,1,40
71026,Wednesday,19.75,1.0,1,13
71027,Wednesday,16.75,7.0,5,32
71028,Saturday,13.75,9.0,5,37
71029,Saturday,17.75,4.0,3,17
71030,Monday,13.75,9.0,6,35
71031,Thursday,19.75,3.0,1,19
71032,Wednesday,12.75,1.0,1,15
71033,Monday,8.75,15.0,10,33
71034,Tuesday,22.75,3.0,3,12
71035,Wednesday,18.75,2.0,2,12
71036,Friday,11.75,15.0,10,27
71037,Tuesday,22.75,10.0,8,45
71038,Monday,23.75,1.0,1,15
71039,Friday,14.75,2.0,2,15
71040,Tuesday,22.75,10.0,6,24
71041,Thursday,19.75,13.0,10,27
71042,Monday,20.75,10.0,7,24
71043,Thursday,19.75,2.0,2,13
71044,Wednesday,14.75,6.0,6,13
71045,Thursday,14.75,12.0,6,23
71046,Wednesday,17.75,15.0,10,42
71047,Tuesday,4.75,4.0,2,19
71048,Thursday,16.75,8.0,5,38
71049,Wednesday,15.75,3.0,3,14
71050,Friday,13.75,9.0,9,11
71051,Thursday,7.75,4.0,2,25
71052,Thursday,9.75,1.0,1,5
71053,Monday,18.75,2.0,2,8
71054,Tuesday,21.75,8.0,6,27
71055,Saturday,19.75,6.0,3,26
71056,Thursday,23.75,5.0,3,37
71057,Sunday,23.75,1.0,1,13
71058,Monday,13.75,6.0,5,17
71059,Friday,16.75,17.0,9,41
71060,Thursday,16.75,9.0,7,28
71061,Wednesday,15.75,11.0,8,43
71062,Thursday,20.75,12.0,10,33
71063,Thursday,0.75,2.0,2,12
71064,Tuesday,15.75,6.0,4,18
71065,Thursday,18.75,2.0,1,16
71066,Wednesday,14.75,6.0,4,41
71067,Sunday,14.75,13.0,9,42
71068,Friday,19.75,9.0,5,40
71069,Saturday,8.75,6.0,4,16
71070,Friday,11.75,13.0,9,29
71071,Thursday,9.75,13.0,9,38
71072,Wednesday,7.75,9.0,5,35
71073,Tuesday,23.75,11.0,5,32
71074,Wednesday,19.75,6.0,4,30
71075,Friday,23.75,3.0,1,32
71076,Thursday,14.75,3.0,1,26
71077,Thursday,20.75,7.0,6,24
71078,Wednesday,0.75,4.0,2,34
71079,Monday,12.75,14.0,7,36
71080,Friday,14.75,3.0,3,6
71081,Thursday,5.75,12.0,9,24
71082,Tuesday,19.75,17.0,7,43
71083,Thursday,3.75,4.0,4,9
71084,Monday,15.75,11.0,8,40
71085,Sunday,6.75,12.0,10,25
71086,Friday,20.75,7.0,6,25
71087,Thursday,14.75,14.0,9,23
71088,Saturday,16.75,11.0,9,27
71089,Friday,18.75,9.0,4,34
71090,Saturday,17.75,3.0,3,14
71091,Thursday,18.75,13.0,9,38
71092,Saturday,19.75,14.0,9,41
71093,Thursday,19.75,8.0,7,15
71094,Sunday,18.75,13.0,10,34
71095,Saturday,15.75,13.0,9,34
71096,Sunday,0.75,11.0,9,36
71097,Friday,6.75,5.0,3,22
71098,Sunday,19.75,14.0,9,28
71099,Thursday,1.75,6.0,6,9
71100,Wednesday,14.75,10.0,9,28
71101,Thursday,20.75,10.0,9,19
71102,Saturday,16.75,14.0,9,30
71103,Saturday,13.75,8.0,6,38
71104,Saturday,5.75,10.0,6,29
71105,Wednesday,22.75,1.0,1,15
71106,Sunday,7.75,15.0,6,37
71107,Sunday,18.75,6.0,5,16
71108,Friday,13.75,9.0,8,17
71109,Saturday,10.75,1.0,1,13
71110,Friday,14.75,18.0,10,42
71111,Thursday,20.75,4.0,2,41
71112,Sunday,20.75,4.0,3,15
71113,Wednesday,12.75,4.0,3,26
71114,Thursday,16.75,7.0,6,27
71115,Tuesday,22.75,12.0,7,31
71116,Wednesday,20.75,12.0,9,27
71117,Saturday,13.75,4.0,4,15
71118,Friday,12.75,2.0,2,14
71119,Tuesday,21.75,15.0,9,38
71120,Wednesday,23.75,4.0,3,25
71121,Sunday,20.75,9.0,9,18
71122,Saturday,19.75,11.0,9,38
71123,Thursday,15.75,9.0,7,42
71124,Thursday,20.75,1.0,1,14
71125,Friday,19.75,11.0,8,28
71126,Thursday,20.75,9.0,5,45
71127,Wednesday,23.75,10.0,5,41
71128,Tuesday,0.75,8.0,7,13
71129,Thursday,11.75,14.0,7,40
71130,Wednesday,22.75,9.0,6,28
71131,Sunday,16.75,3.0,1,43
71132,Thursday,23.75,13.0,8,44
71133,Sunday,14.75,10.0,8,26
71134,Thursday,18.75,11.0,8,28
71135,Thursday,20.75,1.0,1,10
71136,Wednesday,11.75,6.0,6,12
71137,Thursday,9.75,2.0,2,12
71138,Friday,10.75,7.0,4,25
71139,Sunday,13.75,16.0,10,41
71140,Sunday,8.75,8.0,6,25
71141,Friday,2.75,13.0,8,33
71142,Thursday,11.75,7.0,5,20
71143,Friday,23.75,12.0,10,34
71144,Wednesday,18.75,12.0,10,29
71145,Sunday,14.75,9.0,7,41
71146,Tuesday,12.75,12.0,8,36
71147,Thursday,22.75,10.0,6,18
71148,Thursday,19.75,4.0,3,18
71149,Tuesday,13.75,6.0,4,17
71150,Wednesday,21.75,1.0,1,8
71151,Wednesday,13.75,6.0,4,17
71152,Saturday,22.75,12.0,10,25
71153,Thursday,16.75,16.0,10,25
71154,Thursday,7.75,12.0,10,23
71155,Tuesday,10.75,13.0,7,34
71156,Friday,23.75,7.0,6,16
71157,Tuesday,21.75,10.0,6,28
71158,Thursday,18.75,6.0,5,29
71159,Thursday,0.75,2.0,2,9
71160,Thursday,10.75,1.0,1,9
71161,Friday,3.75,9.0,7,22
71162,Wednesday,17.75,14.0,10,26
71163,Saturday,16.75,8.0,3,28
71164,Saturday,1.75,5.0,3,20
71165,Thursday,18.75,4.0,2,33
71166,Saturday,23.75,15.0,10,22
71167,Wednesday,21.75,6.0,4,23
71168,Thursday,21.75,5.0,3,19
71169,Monday,20.75,7.0,6,22
71170,Tuesday,11.75,5.0,3,35
71171,Wednesday,1.75,8.0,6,33
71172,Saturday,12.75,11.0,10,27
71173,Monday,18.75,1.0,1,6
71174,Friday,14.75,2.0,1,26
71175,Friday,11.75,14.0,10,30
71176,Thursday,17.75,11.0,9,29
71177,Sunday,17.75,1.0,1,16
71178,Thursday,17.75,5.0,4,16
71179,Friday,19.75,10.0,9,16
71180,Saturday,21.75,1.0,1,9
71181,Saturday,12.75,11.0,7,41
71182,Saturday,21.75,5.0,5,13
71183,Monday,20.75,11.0,7,43
71184,Wednesday,15.75,6.0,3,44
71185,Tuesday,17.75,6.0,5,16
71186,Thursday,13.75,5.0,3,33
71187,Friday,15.75,7.0,4,24
71188,Sunday,9.75,6.0,4,22
71189,Tuesday,10.75,3.0,3,12
71190,Thursday,9.75,14.0,8,37
71191,Thursday,16.75,9.0,5,35
71192,Thursday,4.75,16.0,10,22
71193,Saturday,22.75,9.0,8,22
71194,Friday,8.75,4.0,3,22
71195,Friday,5.75,13.0,10,35
71196,Saturday,19.75,9.0,7,43
71197,Wednesday,14.75,2.0,2,13
71198,Tuesday,12.75,9.0,8,15
71199,Thursday,0.75,4.0,2,17
71200,Friday,8.75,20.0,10,36
71201,Wednesday,20.75,7.0,7,14
71202,Sunday,5.75,12.0,8,28
71203,Thursday,11.75,9.0,9,11
71204,Tuesday,13.75,2.0,2,15
71205,Tuesday,12.75,12.0,8,34
71206,Friday,21.75,6.0,3,19
71207,Wednesday,4.75,9.0,9,10
71208,Saturday,18.75,12.0,10,19
71209,Friday,17.75,12.0,8,26
71210,Wednesday,6.75,15.0,9,23
71211,Thursday,9.75,2.0,1,24
71212,Thursday,6.75,3.0,3,12
71213,Tuesday,20.75,11.0,9,28
71214,Saturday,19.75,12.0,8,25
71215,Wednesday,8.75,10.0,7,37
71216,Tuesday,13.75,6.0,4,27
71217,Wednesday,12.75,8.0,7,13
71218,Thursday,20.75,1.0,1,9
71219,Friday,9.75,16.0,10,21
71220,Monday,21.75,6.0,5,26
71221,Thursday,12.75,9.0,8,15
71222,Sunday,20.75,12.0,8,47
71223,Tuesday,10.75,6.0,4,24
71224,Tuesday,15.75,14.0,9,26
71225,Tuesday,15.75,1.0,1,13
71226,Wednesday,9.75,9.0,7,25
71227,Saturday,15.75,5.0,3,34
71228,Thursday,12.75,6.0,6,11
71229,Tuesday,16.75,8.0,7,30
71230,Thursday,0.75,9.0,6,22
71231,Thursday,22.75,3.0,1,37
71232,Sunday,16.75,1.0,1,15
71233,Wednesday,20.75,20.0,10,38
71234,Monday,14.75,8.0,6,25
71235,Friday,20.75,16.0,9,41
71236,Wednesday,10.75,9.0,6,20
71237,Thursday,19.75,7.0,5,48
71238,Monday,18.75,6.0,5,30
71239,Tuesday,20.75,16.0,10,43
71240,Thursday,1.75,15.0,9,27
71241,Monday,18.75,15.0,10,41
71242,Tuesday,14.75,11.0,7,29
71243,Friday,10.75,15.0,10,22
71244,Wednesday,18.75,13.0,9,38
71245,Tuesday,18.75,10.0,5,43
71246,Thursday,4.75,6.0,4,16
71247,Friday,6.75,12.0,7,27
71248,Thursday,1.75,1.0,1,11
71249,Wednesday,12.75,8.0,7,22
71250,Wednesday,13.75,15.0,9,42
71251,Wednesday,22.75,11.0,9,27
71252,Friday,18.75,9.0,7,23
71253,Thursday,22.75,1.0,1,9
71254,Saturday,23.75,15.0,9,41
71255,Thursday,18.75,17.0,9,42
71256,Friday,18.75,12.0,8,39
71257,Friday,19.75,3.0,2,22
71258,Monday,11.75,3.0,3,12
71259,Saturday,10.75,7.0,5,33
71260,Thursday,23.75,8.0,5,40
71261,Thursday,11.75,8.0,5,23
71262,Friday,10.75,16.0,10,27
71263,Wednesday,15.75,1.0,1,13
71264,Thursday,5.75,9.0,6,21
71265,Tuesday,16.75,2.0,2,10
71266,Friday,11.75,14.0,10,36
71267,Thursday,19.75,18.0,10,33
71268,Thursday,4.75,6.0,6,11
71269,Friday,9.75,6.0,5,22
71270,Friday,4.75,6.0,4,31
71271,Thursday,18.75,10.0,5,32
71272,Sunday,14.75,1.0,1,5
71273,Monday,18.75,2.0,1,30
71274,Tuesday,18.75,13.0,10,29
71275,Friday,19.75,1.0,1,13
71276,Friday,22.75,7.0,3,31
71277,Friday,22.75,14.0,9,37
71278,Wednesday,23.75,4.0,3,25
71279,Thursday,18.75,10.0,8,45
71280,Friday,8.75,14.0,10,24
71281,Thursday,17.75,5.0,5,15
71282,Friday,18.75,2.0,2,14
71283,Tuesday,18.75,10.0,8,27
71284,Monday,22.75,4.0,4,9
71285,Wednesday,19.75,10.0,10,15
71286,Wednesday,23.75,9.0,7,41
71287,Saturday,6.75,8.0,5,23
71288,Wednesday,18.75,4.0,4,12
71289,Wednesday,20.75,5.0,5,15
71290,Sunday,11.75,7.0,4,18
71291,Thursday,20.75,2.0,1,25
71292,Sunday,10.75,3.0,3,11
71293,Tuesday,11.75,2.0,2,10
71294,Saturday,12.75,12.0,9,28
71295,Monday,12.75,4.0,2,44
71296,Wednesday,21.75,1.0,1,15
71297,Monday,14.75,9.0,7,20
71298,Thursday,23.75,14.0,9,33
71299,Saturday,19.75,4.0,2,43
71300,Sunday,18.75,4.0,3,20
71301,Tuesday,19.75,14.0,10,41
71302,Saturday,21.75,12.0,8,24
71303,Thursday,4.75,3.0,3,7
71304,Friday,13.75,4.0,2,42
71305,Wednesday,12.75,13.0,10,30
71306,Monday,20.75,15.0,10,43
71307,Monday,19.75,9.0,6,21
71308,Thursday,19.75,5.0,3,30
71309,Saturday,9.75,3.0,2,15
71310,Tuesday,20.75,11.0,8,48
71311,Thursday,13.75,12.0,9,26
71312,Thursday,10.75,10.0,6,35
71313,Sunday,22.75,3.0,1,20
71314,Monday,23.75,7.0,7,12
71315,Sunday,13.75,3.0,2,15
71316,Friday,14.75,5.0,4,28
71317,Thursday,13.75,5.0,4,16
71318,Thursday,22.75,4.0,4,12
71319,Wednesday,14.75,9.0,5,29
71320,Saturday,19.75,3.0,1,32
71321,Wednesday,19.75,11.0,9,31
71322,Friday,2.75,7.0,5,23
71323,Monday,19.75,4.0,3,28
71324,Saturday,20.75,6.0,3,42
71325,Thursday,15.75,14.0,9,34
71326,Friday,11.75,1.0,1,12
71327,Monday,8.75,10.0,10,15
71328,Friday,18.75,2.0,2,15
71329,Friday,22.75,15.0,10,34
71330,Friday,22.75,5.0,3,37
71331,Thursday,14.75,3.0,1,23
71332,Thursday,20.75,11.0,8,35
71333,Wednesday,20.75,6.0,4,23
71334,Saturday,21.75,10.0,10,12
71335,Monday,15.75,10.0,8,18
71336,Saturday,20.75,14.0,10,30
71337,Saturday,19.75,4.0,3,22
71338,Wednesday,6.75,1.0,1,3
71339,Monday,17.75,6.0,4,34
71340,Wednesday,18.75,12.0,9,38
71341,Tuesday,10.75,17.0,9,18
71342,Saturday,16.75,8.0,7,16
71343,Saturday,18.75,16.0,8,41
71344,Friday,9.75,1.0,1,11
71345,Monday,18.75,15.0,10,40
71346,Thursday,8.75,4.0,2,16
71347,Friday,23.75,2.0,2,15
71348,Friday,12.75,10.0,9,15
71349,Wednesday,13.75,2.0,1,21
71350,Wednesday,15.75,6.0,5,14
71351,Saturday,18.75,13.0,9,49
71352,Wednesday,1.75,15.0,9,33
71353,Thursday,18.75,1.0,1,13
71354,Sunday,15.75,10.0,6,39
71355,Thursday,19.75,5.0,2,46
71356,Tuesday,23.75,3.0,3,13
71357,Monday,11.75,12.0,10,23
71358,Wednesday,22.75,10.0,7,27
71359,Wednesday,12.75,10.0,6,23
71360,Wednesday,7.75,11.0,10,14
71361,Thursday,7.75,16.0,7,40
71362,Thursday,11.75,7.0,7,14
71363,Friday,8.75,10.0,6,36
71364,Monday,14.75,8.0,6,23
71365,Thursday,9.75,9.0,5,17
71366,Wednesday,20.75,10.0,10,18
71367,Friday,16.75,9.0,4,37
71368,Monday,16.75,4.0,3,18
71369,Thursday,12.75,2.0,2,6
71370,Friday,20.75,11.0,10,27
71371,Saturday,7.75,11.0,9,26
71372,Tuesday,5.75,6.0,5,10
71373,Wednesday,22.75,16.0,10,42
71374,Thursday,17.75,14.0,9,28
71375,Sunday,20.75,17.0,9,46
71376,Thursday,17.75,2.0,2,9
71377,Wednesday,8.75,5.0,3,27
71378,Friday,16.75,13.0,9,40
71379,Saturday,10.75,6.0,5,19
71380,Thursday,23.75,5.0,3,37
71381,Thursday,12.75,1.0,1,15
71382,Saturday,16.75,6.0,4,20
71383,Thursday,17.75,10.0,8,22
71384,Friday,13.75,3.0,3,14
71385,Tuesday,17.75,5.0,4,24
71386,Tuesday,8.75,9.0,5,20
71387,Thursday,6.75,11.0,7,34
71388,Friday,21.75,6.0,5,11
71389,Tuesday,9.75,16.0,8,28
71390,Thursday,14.75,12.0,5,40
71391,Friday,13.75,5.0,3,42
71392,Thursday,17.75,13.0,9,30
71393,Friday,20.75,4.0,4,8
71394,Thursday,10.75,4.0,3,14
71395,Thursday,13.75,8.0,8,15
71396,Thursday,9.75,3.0,3,7
71397,Monday,9.75,14.0,8,36
71398,Wednesday,17.75,16.0,8,42
71399,Thursday,19.75,11.0,9,23
71400,Thursday,18.75,7.0,5,29
71401,Tuesday,20.75,15.0,9,46
71402,Tuesday,12.75,4.0,3,28
71403,Friday,9.75,9.0,6,17
71404,Friday,20.75,3.0,2,31
71405,Thursday,20.75,6.0,5,26
71406,Monday,23.75,2.0,2,14
71407,Tuesday,13.75,2.0,1,22
71408,Sunday,18.75,13.0,6,47
71409,Thursday,15.75,5.0,5,14
71410,Sunday,12.75,10.0,10,14
71411,Monday,23.75,13.0,7,37
71412,Monday,5.75,10.0,6,23
71413,Saturday,11.75,1.0,1,13
71414,Friday,14.75,2.0,2,12
71415,Wednesday,6.75,11.0,6,22
71416,Sunday,19.75,16.0,9,30
71417,Tuesday,22.75,5.0,5,13
71418,Sunday,6.75,5.0,3,32
71419,Friday,18.75,6.0,4,19
71420,Friday,15.75,12.0,10,25
71421,Friday,20.75,7.0,6,14
71422,Friday,20.75,4.0,2,32
71423,Thursday,15.75,18.0,9,37
71424,Thursday,12.75,15.0,10,29
71425,Sunday,20.75,1.0,1,9
71426,Friday,14.75,13.0,8,35
71427,Thursday,15.75,13.0,10,17
71428,Wednesday,7.75,9.0,7,23
71429,Saturday,21.75,10.0,8,35
71430,Friday,18.75,3.0,3,13
71431,Wednesday,3.75,8.0,6,32
71432,Wednesday,18.75,2.0,2,10
71433,Tuesday,11.75,9.0,6,38
71434,Wednesday,13.75,6.0,4,33
71435,Sunday,20.75,9.0,6,42
71436,Wednesday,21.75,8.0,4,30
71437,Friday,14.75,4.0,2,26
71438,Friday,14.75,4.0,3,30
71439,Wednesday,15.75,6.0,6,11
71440,Thursday,13.75,7.0,5,21
71441,Friday,18.75,8.0,6,26
71442,Thursday,1.75,3.0,2,17
71443,Tuesday,22.75,4.0,4,12
71444,Wednesday,20.75,9.0,5,30
71445,Thursday,21.75,4.0,3,12
71446,Sunday,17.75,6.0,3,39
71447,Friday,12.75,12.0,7,24
71448,Monday,16.75,13.0,7,42
71449,Wednesday,20.75,5.0,3,45
71450,Thursday,9.75,3.0,1,39
71451,Friday,16.75,8.0,5,33
71452,Tuesday,14.75,7.0,7,13
71453,Saturday,12.75,4.0,2,42
71454,Saturday,7.75,8.0,6,24
71455,Wednesday,10.75,2.0,2,12
71456,Sunday,12.75,2.0,2,10
71457,Thursday,18.75,4.0,2,21
71458,Wednesday,22.75,7.0,7,10
71459,Saturday,14.75,13.0,9,40
71460,Tuesday,14.75,6.0,6,13
71461,Friday,21.75,3.0,1,34
71462,Saturday,21.75,2.0,2,16
71463,Monday,23.75,13.0,7,41
71464,Wednesday,19.75,13.0,10,32
71465,Thursday,6.75,15.0,7,37
71466,Saturday,7.75,15.0,10,27
71467,Wednesday,7.75,9.0,6,18
71468,Thursday,21.75,13.0,9,29
71469,Saturday,22.75,3.0,3,14
71470,Wednesday,23.75,16.0,10,27
71471,Saturday,13.75,7.0,7,15
71472,Friday,14.75,14.0,9,26
71473,Wednesday,19.75,3.0,3,16
71474,Tuesday,5.75,8.0,6,20
71475,Saturday,18.75,6.0,6,14
71476,Thursday,18.75,15.0,9,30
71477,Friday,20.75,13.0,10,27
71478,Thursday,21.75,4.0,3,11
71479,Wednesday,23.75,9.0,5,41
71480,Friday,13.75,11.0,7,45
71481,Thursday,18.75,2.0,2,13
71482,Thursday,23.75,5.0,5,12
71483,Thursday,19.75,7.0,4,37
71484,Friday,19.75,14.0,8,46
71485,Thursday,10.75,13.0,8,39
71486,Friday,18.75,8.0,5,41
71487,Monday,10.75,4.0,4,13
71488,Friday,1.75,5.0,4,12
71489,Thursday,18.75,7.0,5,25
71490,Sunday,19.75,16.0,10,38
71491,Friday,14.75,1.0,1,11
71492,Wednesday,9.75,10.0,9,28
71493,Friday,4.75,8.0,5,22
71494,Friday,0.75,9.0,7,40
71495,Friday,14.75,4.0,2,19
71496,Sunday,11.75,4.0,4,7
71497,Wednesday,8.75,9.0,9,12
71498,Monday,22.75,13.0,7,43
71499,Monday,13.75,6.0,5,16
71500,Thursday,20.75,10.0,8,20
71501,Saturday,13.75,10.0,10,13
71502,Friday,13.75,10.0,6,37
71503,Thursday,19.75,4.0,2,32
71504,Thursday,20.75,18.0,9,41
71505,Thursday,13.75,8.0,5,22
71506,Tuesday,20.75,6.0,6,14
71507,Thursday,6.75,13.0,7,28
71508,Wednesday,19.75,10.0,6,36
71509,Thursday,9.75,7.0,6,24
71510,Tuesday,10.75,4.0,3,14
71511,Saturday,16.75,6.0,3,41
71512,Saturday,21.75,7.0,5,23
71513,Sunday,4.75,6.0,6,9
71514,Thursday,17.75,7.0,6,26
71515,Wednesday,19.75,7.0,6,24
71516,Wednesday,0.75,5.0,3,28
71517,Thursday,20.75,11.0,8,24
71518,Thursday,23.75,13.0,10,32
71519,Tuesday,14.75,2.0,1,28
71520,Tuesday,12.75,7.0,5,17
71521,Thursday,19.75,8.0,8,13
71522,Wednesday,15.75,3.0,3,13
71523,Friday,23.75,7.0,5,31
71524,Friday,9.75,11.0,6,38
71525,Thursday,22.75,15.0,10,40
71526,Wednesday,18.75,4.0,4,13
71527,Friday,5.75,1.0,1,6
71528,Thursday,15.75,2.0,2,6
71529,Saturday,2.75,12.0,7,37
71530,Saturday,9.75,4.0,4,10
71531,Monday,13.75,15.0,9,30
71532,Friday,19.75,7.0,5,20
71533,Monday,12.75,4.0,4,15
71534,Monday,11.75,12.0,10,20
71535,Friday,13.75,3.0,3,14
71536,Saturday,18.75,2.0,1,15
71537,Wednesday,13.75,4.0,2,20
71538,Sunday,21.75,15.0,10,39
71539,Tuesday,12.75,6.0,6,10
71540,Tuesday,13.75,11.0,8,27
71541,Sunday,23.75,16.0,10,27
71542,Monday,16.75,13.0,10,21
71543,Tuesday,9.75,1.0,1,9
71544,Friday,13.75,7.0,7,15
71545,Thursday,8.75,13.0,8,35
71546,Friday,15.75,7.0,6,30
71547,Thursday,21.75,13.0,10,41
71548,Friday,17.75,3.0,3,11
71549,Saturday,20.75,11.0,10,16
71550,Wednesday,18.75,8.0,5,35
71551,Friday,9.75,5.0,5,14
71552,Thursday,17.75,10.0,9,17
71553,Thursday,16.75,4.0,3,18
71554,Thursday,4.75,1.0,1,7
71555,Thursday,13.75,15.0,10,28
71556,Wednesday,21.75,6.0,3,27
71557,Thursday,11.75,12.0,8,34
71558,Monday,18.75,1.0,1,12
71559,Thursday,17.75,7.0,5,28
71560,Wednesday,14.75,8.0,4,30
71561,Sunday,14.75,17.0,10,31
71562,Sunday,3.75,10.0,6,35
71563,Sunday,18.75,12.0,9,30
71564,Friday,15.75,18.0,10,37
71565,Monday,16.75,8.0,7,22
71566,Sunday,17.75,11.0,6,29
71567,Sunday,18.75,10.0,8,25
71568,Tuesday,20.75,12.0,7,29
71569,Thursday,17.75,4.0,2,25
71570,Tuesday,18.75,12.0,8,41
71571,Thursday,16.75,2.0,2,10
71572,Monday,16.75,15.0,7,33
71573,Saturday,2.75,3.0,1,14
71574,Friday,23.75,12.0,9,28
71575,Thursday,12.75,10.0,9,19
71576,Wednesday,12.75,10.0,7,41
71577,Thursday,17.75,2.0,2,13
71578,Saturday,22.75,15.0,9,27
71579,Tuesday,13.75,12.0,9,16
71580,Wednesday,12.75,1.0,1,11
71581,Saturday,13.75,3.0,3,13
71582,Tuesday,2.75,9.0,7,32
71583,Monday,17.75,2.0,2,12
71584,Monday,23.75,7.0,5,19
71585,Friday,15.75,12.0,7,43
71586,Wednesday,17.75,2.0,2,13
71587,Wednesday,21.75,7.0,5,21
71588,Monday,11.75,9.0,8,12
71589,Saturday,18.75,10.0,7,25
71590,Wednesday,23.75,10.0,8,25
71591,Friday,18.75,9.0,9,17
71592,Tuesday,2.75,7.0,5,27
71593,Thursday,15.75,4.0,3,25
71594,Friday,20.75,10.0,7,24
71595,Saturday,20.75,6.0,4,23
71596,Saturday,19.75,9.0,7,25
71597,Tuesday,22.75,3.0,3,14
71598,Wednesday,12.75,4.0,2,31
71599,Friday,20.75,4.0,3,28
71600,Friday,13.75,1.0,1,11
71601,Wednesday,10.75,6.0,6,12
71602,Tuesday,12.75,8.0,6,26
71603,Monday,21.75,7.0,3,27
71604,Wednesday,11.75,17.0,10,38
71605,Saturday,20.75,1.0,1,12
71606,Thursday,23.75,3.0,3,13
71607,Friday,6.75,13.0,8,33
71608,Thursday,19.75,8.0,7,23
71609,Thursday,19.75,2.0,2,15
71610,Wednesday,20.75,15.0,8,33
71611,Monday,12.75,11.0,6,30
71612,Saturday,17.75,4.0,4,11
71613,Wednesday,12.75,8.0,7,27
71614,Thursday,17.75,4.0,2,34
71615,Thursday,23.75,2.0,2,11
71616,Sunday,15.75,14.0,9,39
71617,Friday,7.75,3.0,1,23
71618,Thursday,14.75,9.0,7,27
71619,Thursday,15.75,15.0,9,29
71620,Thursday,22.75,10.0,8,15
71621,Thursday,16.75,1.0,1,7
71622,Thursday,10.75,6.0,4,32
71623,Tuesday,14.75,14.0,9,30
71624,Thursday,18.75,9.0,6,30
71625,Tuesday,22.75,15.0,9,29
71626,Saturday,20.75,3.0,3,16
71627,Wednesday,15.75,7.0,4,35
71628,Thursday,2.75,4.0,4,13
71629,Thursday,19.75,1.0,1,8
71630,Friday,20.75,12.0,10,29
71631,Saturday,21.75,6.0,5,24
71632,Monday,5.75,10.0,6,24
71633,Thursday,1.75,11.0,8,23
71634,Thursday,10.75,3.0,3,10
71635,Thursday,12.75,13.0,8,30
71636,Tuesday,14.75,10.0,8,23
71637,Friday,13.75,3.0,3,14
71638,Tuesday,9.75,5.0,4,14
71639,Thursday,12.75,10.0,7,24
71640,Thursday,12.75,11.0,8,27
71641,Thursday,23.75,12.0,7,34
71642,Wednesday,17.75,7.0,5,30
71643,Thursday,17.75,10.0,6,38
71644,Thursday,16.75,13.0,9,40
71645,Friday,19.75,2.0,1,31
71646,Thursday,14.75,9.0,5,35
71647,Friday,22.75,7.0,7,12
71648,Thursday,19.75,9.0,3,45
71649,Friday,19.75,5.0,5,14
71650,Saturday,0.75,10.0,7,30
71651,Thursday,14.75,5.0,3,27
71652,Thursday,16.75,8.0,5,27
71653,Saturday,0.75,2.0,2,11
71654,Thursday,19.75,15.0,9,48
71655,Tuesday,18.75,9.0,7,30
71656,Tuesday,21.75,7.0,6,26
71657,Wednesday,20.75,5.0,3,47
71658,Wednesday,22.75,5.0,3,28
71659,Tuesday,17.75,13.0,10,22
71660,Thursday,10.75,6.0,4,21
71661,Friday,20.75,1.0,1,7
71662,Thursday,11.75,4.0,2,21
71663,Thursday,15.75,7.0,7,11
71664,Thursday,0.75,3.0,3,13
71665,Friday,15.75,5.0,5,13
71666,Monday,9.75,11.0,9,17
71667,Wednesday,10.75,4.0,2,17
71668,Monday,10.75,6.0,4,22
71669,Thursday,16.75,14.0,10,39
71670,Thursday,8.75,4.0,3,8
71671,Thursday,17.75,11.0,9,22
71672,Thursday,21.75,4.0,4,15
71673,Tuesday,12.75,6.0,6,14
71674,Friday,18.75,7.0,4,19
71675,Monday,14.75,5.0,5,12
71676,Monday,18.75,7.0,7,14
71677,Saturday,14.75,1.0,1,6
71678,Friday,21.75,14.0,9,35
